ticker,first_report,pattern,direction,grade,entry,stop,t1,t2,t3,rr,outcome,r,mfe,mae,fill_date,fill_price,chase,t1_hit,t2_hit,t3_hit,stop_hit,multiple,n_appearances,subsequent_reports,reason,sector,etf_trend,confirmed,spy_regime,vs_local_trend,days_to_t1,days_to_stop
AAOI,2026-06-27,BUTTERFLY,LONG,B-,127.01,107.96,194.44,233.67,280.4,6.41,FULL_LOSS,-1.006,0.644,1.098,2026-07-02,127.01,False,False,False,False,True,NO,1,,SL 2026-07-15,Technology,,,BEAR,COUNTER,,8
ALGM,2026-06-27,BUTTERFLY,SHORT,C-,61.67,70.93,44.91,35.71,27.61,3.05,FULL_LOSS,-1.008,0.472,1.091,2026-06-29,61.67,False,False,False,False,True,NO,1,,SL 2026-06-30,Technology,,,BEAR,COUNTER,,1
APC,2026-06-27,GARTLEY,LONG,C-,17.89,15.21,31.31,53.67,89.45,18.33,NO_VALID_ENTRY,,,,,,False,False,False,False,False,NO,1,,Not filled in 7 sessions,Energy,,,BEAR,WITH,,
ARCC,2026-06-27,SHARK,LONG,C-,17.72,15.06,31.01,53.16,88.6,18.33,NO_VALID_ENTRY,,,,,,False,False,False,False,False,NO,1,,Not filled in 7 sessions,Financial Services,,,BEAR,WITH,,
BCAR,2026-06-27,GARTLEY,LONG,C-,10.35,8.8,18.11,31.05,51.75,18.33,FULL_LOSS,-1.006,0.013,1.832,2026-07-17,10.350000381469727,True,False,False,False,True,YES,2,2026-07-21,SL 2026-07-27,Financial Services,,,BEAR,,,6
BKR,2026-06-27,BAT,LONG,B-,55.56,47.23,83.4,100.08,120.09,6.14,OPEN,0.325,1.112,0.436,2026-06-29,56.15999984741211,True,False,False,False,False,NO,1,,OPEN mark 59.06,Energy,,,BEAR,COUNTER,,
BWMN,2026-06-27,GARTLEY,LONG,C-,28.23,24.0,42.08,50.49,60.59,6.05,PARTIAL_WIN,2.854,3.02,0.775,2026-07-06,28.760000228881836,True,True,False,False,False,NO,1,,"T1 2026-08-10, OPEN mark 42.42",Industrials,,,BEAR,COUNTER,25,
BZ=F,2026-06-27,BUTTERFLY,LONG,C-,71.4,60.69,109.17,131.0,157.2,6.38,PARTIAL_WIN,2.731,3.122,0.213,2026-06-30,72.69999694824219,True,True,False,False,False,NO,1,,"T1 2026-09-11, OPEN mark 104.61",Unknown / Other,,,BEAR,COUNTER,51,
CD,2026-06-27,BAT,LONG,C-,4.25,3.61,6.18,7.65,9.9,6.64,FULL_LOSS,-1.006,0.734,1.016,2026-07-01,4.25,False,False,False,False,True,NO,1,,SL 2026-07-08,Financial Services,,,BEAR,COUNTER,,4
CG,2026-06-27,BUTTERFLY,LONG,A-,40.47,34.4,60.65,72.78,87.34,6.12,OPEN,0.308,1.926,0.143,2026-06-29,40.47,False,False,False,False,False,NO,1,,OPEN mark 42.34,Financial Services,,,BEAR,COUNTER,,
CIFR,2026-06-27,BUTTERFLY,SHORT,C-,30.14,34.66,22.3,16.64,13.22,3.11,NO_VALID_ENTRY,,,,,,False,False,False,False,False,NO,1,,Not filled in 7 sessions,Technology,,,BEAR,COUNTER,,
CLNE,2026-06-27,GARTLEY,LONG,C-,1.66,1.41,2.56,3.09,4.01,7.16,NO_VALID_ENTRY,,,,,,False,False,False,False,False,NO,1,,Not filled in 7 sessions,Energy,,,BEAR,COUNTER,,
EGAN,2026-06-27,BAT,LONG,C-,6.09,5.18,9.01,11.0,14.21,6.7,NO_VALID_ENTRY,,,,,,False,False,False,False,False,NO,1,,Not filled in 7 sessions,Technology,,,BEAR,COUNTER,,
ESQ,2026-06-27,5-0,SHORT,C-,119.81,137.78,102.79,81.27,35.33,3.18,OPEN,-0.068,0.43,0.837,2026-06-29,118.55000305175781,True,False,False,False,False,NO,1,,OPEN mark 119.86,Financial Services,,,BEAR,COUNTER,,
FANG,2026-06-27,GARTLEY,LONG,C-,179.35,152.45,313.87,538.06,896.77,18.33,OPEN,0.889,1.318,0.365,2026-06-29,180.25999450683594,True,False,False,False,False,NO,1,,OPEN mark 204.97,Energy,,,BEAR,COUNTER,,
GASS,2026-06-27,BUTTERFLY,LONG,C+,7.96,6.77,11.74,14.19,17.31,6.11,OPEN,1.227,1.588,0.134,2026-06-30,7.96,False,False,False,False,False,NO,1,,OPEN mark 9.42,Industrials,,,BEAR,COUNTER,,
GLPI,2026-06-27,SHARK,LONG,C-,44.12,37.5,77.21,132.36,220.6,18.33,OPEN,-0.586,0.379,0.621,2026-07-01,44.12,False,False,False,False,False,NO,1,,OPEN mark 40.24,Real Estate,,,BEAR,WITH,,
HG=F,2026-06-27,BUTTERFLY,LONG,C+,5.93,5.04,10.37,17.79,29.64,18.33,NO_VALID_ENTRY,,,,,,False,False,False,False,False,NO,1,,Not filled in 7 sessions,Unknown / Other,,,BEAR,WITH,,
INDA,2026-06-27,SHARK,SHORT,C-,50.02,54.65,43.74,32.7,20.16,4.62,OPEN,0.095,0.277,0.274,2026-06-29,49.099998474121094,True,False,False,False,False,NO,1,,OPEN mark 48.57,Unknown / Other,,,BEAR,WITH,,
IPX,2026-06-27,SHARK,LONG,C-,25.3,21.5,38.13,49.57,61.17,7.32,FULL_LOSS,-1.008,0.926,1.185,2026-07-08,24.200000762939453,False,False,False,False,True,NO,1,,SL 2026-07-24,Basic Materials,,,BEAR,COUNTER,,12
KMB,2026-06-27,BAT,SHORT,C-,109.91,126.4,91.27,60.59,47.97,3.0,OPEN,0.713,0.765,0.419,2026-06-29,109.91,False,False,False,False,False,NO,1,,OPEN mark 98.15,Consumer Defensive,,,BEAR,COUNTER,,
MIRM,2026-06-27,CRAB,SHORT,B-,124.43,143.09,103.05,77.99,48.85,3.0,PARTIAL_WIN,1.352,1.905,0.298,2026-06-29,124.43,False,True,False,False,False,NO,1,,"T1 2026-08-03, OPEN mark 98.22",Healthcare,,,BEAR,COUNTER,24,
