ticker,book,timeframe,detected_date,fill_date,signal_type,pattern,grade,planned_entry,next_open_entry,entry_gap_pct,stop_loss,actual_stop_pct,target1,target2,target3,target1_r,status,targets_hit,remaining_position,current_price,realized_pnl_usd,unrealized_pnl_usd,total_pnl_usd,stopped
ARVN,weekly,1wk,2026-06-14,2026-06-15,BUY,SHARK,C-,6.97,7.659999847412109,9.8996,6.06,20.8877,10.3,14.11,20.69,1.65,OPEN,0,1.0,8.449999809265137,0.0,103.13,103.13,False
GOSS,weekly,1wk,2026-06-14,2026-06-15,BUY,5-0,C-,0.14,13.600000381469727,9614.286,0.12,99.1176,0.47,1.11,1.37,0.974,CLOSED,3,0.0,10.729999542236328,0.0,0,0.0,False
OCS,weekly,1wk,2026-06-14,2026-06-15,BUY,5-0,C-,10.52,11.5,9.3156,9.67,15.913,18.16,21.93,30.68,3.6393,OPEN,0,1.0,10.5600004196167,0.0,-81.74,-81.74,False
ONC,weekly,1wk,2026-06-14,2026-06-15,BUY,SHARK,C-,253.95,265.07000732421875,4.3788,215.86,18.5649,359.83,431.8,518.16,1.9256,OPEN,1,0.8,346.510009765625,71.5,245.79,317.29,False
REAX,weekly,1wk,2026-06-14,2026-06-15,BUY,BAT,C-,1.55,16.5,964.5161,1.37,91.697,2.23,2.83,3.6,0.9432,CLOSED,3,0.0,20.280000686645508,0.0,0,0.0,False
USGO,weekly,1wk,2026-06-14,2026-06-15,BUY,GARTLEY,C-,7.55,8.40999984741211,11.3907,6.42,23.6623,10.66,13.63,17.61,1.1307,OPEN,0,1.0,8.15999984741211,0.0,-29.73,-29.73,False
NAVN,weekly,1wk,2026-06-14,2026-06-15,SELL,5-0,C-,24.5,20.0,-18.3673,28.17,40.85,11.76,8.11,6.48,1.0086,CLOSED,0,0.0,21.020000457763672,-408.5,0,-408.5,True
OPTX,weekly,1wk,2026-06-14,2026-06-15,SELL,GARTLEY,C-,14.92,13.779999732971191,-7.6408,17.16,24.5283,6.39,5.03,3.65,2.1864,OPEN,1,0.8,7.099999904632568,107.26,387.81,495.07,False
ELTX,weekly,1wk,2026-06-21,2026-06-22,BUY,5-0,C-,2.66,3.950000047683716,48.4962,2.26,42.7848,4.74,5.82,7.5,0.4675,CLOSED,1,0.0,2.049999952316284,-302.28,0,-302.28,True
ICCM,weekly,1wk,2026-06-21,2026-06-22,BUY,BUTTERFLY,C+,2.12,7.059999942779541,233.0189,1.8,74.5042,20.7,26.2,35.25,2.5932,OPEN,0,1.0,2.2100000381469727,0.0,-686.97,-686.97,False
